Date,Cases,NewCases
2021-02-19,1564483,8710
2021-02-18,1555773,6794
2021-02-17,1548979,6092
2021-02-16,1542887,6753
2021-02-15,1536134,6365
2021-02-14,1529769,8316
2021-02-13,1521453,8763
2021-02-12,1512690,8404
2021-02-11,1504286,10099
2021-02-10,1494187,7101
2021-02-09,1487086,7866
2021-02-08,1479220,8448
2021-02-07,1470772,10025
2021-02-06,1460747,11252
2021-02-05,1449495,8777
2021-02-04,1440718,7414
2021-02-03,1433304,5925
2021-02-02,1427379,8215
2021-02-01,1419164,8508
2021-01-31,1410656,10793
2021-01-30,1399863,12804
2021-01-29,1387059,12579
2021-01-28,1374480,13398
2021-01-27,1361082,11028
2021-01-26,1350054,11064
2021-01-25,1338990,12003
2021-01-24,1326987,12720
2021-01-23,1314267,13786
2021-01-22,1300481,15144
2021-01-21,1285337,13886
2021-01-20,1271451,13364
2021-01-19,1258087,12512
2021-01-18,1245575,12185
2021-01-17,1233390,13842
2021-01-16,1219548,15998
2021-01-15,1203550,19942
2021-01-14,1183608,13661
2021-01-13,1169947,14577
2021-01-12,1155370,15214
2021-01-11,1140156,13714
2021-01-10,1126442,15355
2021-01-09,1111087,16943
2021-01-08,1094144,18832
2021-01-07,1075312,17636
2021-01-06,1057676,16648
2021-01-05,1041028,12666
2021-01-04,1028362,11209
2021-01-03,1017153,11368
2021-01-02,1005785,15074
2021-01-01,990711,16497
2020-12-31,974214,16802
2020-12-30,957412,13422
2020-12-29,943990,11438
2020-12-28,932552,10407
2020-12-27,922145,7623
2020-12-26,914522,10806
2020-12-25,903716,12446
2020-12-24,891270,12568
2020-12-23,878702,11937
2020-12-22,866765,9716
2020-12-21,857049,9007
2020-12-20,848042,9957
2020-12-19,838085,9919
2020-12-18,828166,12697
2020-12-17,815469,10914
2020-12-16,804555,9998
2020-12-15,794557,10353
2020-12-14,784204,9044
2020-12-13,775160,10194
2020-12-12,764966,11129
2020-12-11,753837,10595
2020-12-10,743242,10178
2020-12-09,733064,10600
2020-12-08,722464,9335
2020-12-07,713129,7302
2020-12-06,705827,9702
2020-12-05,696125,10761
2020-12-04,685364,11271
2020-12-03,674093,9855
2020-12-02,664238,8973
2020-12-01,655265,7285
2020-11-30,647980,6819
2020-11-29,641161,6723
2020-11-28,634438,6063
2020-11-27,628375,8176
2020-11-26,620199,6933
2020-11-25,613266,6265
2020-11-24,607001,4881
2020-11-23,602120,5906
2020-11-22,596214,5392
2020-11-21,590822,5972
2020-11-20,584850,5468
2020-11-19,579382,5310
2020-11-18,574072,5294
2020-11-17,568778,5088
2020-11-16,563690,3490
2020-11-15,560200,3649
2020-11-14,556551,5388
2020-11-13,551163,5401
2020-11-12,545762,4797
2020-11-11,540965,4820
2020-11-10,536145,3965
2020-11-09,532180,3144
2020-11-08,529036,3428
2020-11-07,525608,3587
2020-11-06,522021,3209
2020-11-05,518812,2997
2020-11-04,515815,2126
2020-11-03,513689,2321
2020-11-02,511368,1633
2020-11-01,509735,2255
2020-10-31,507480,2049
2020-10-30,505431,2255
2020-10-29,503176,2499
2020-10-28,500677,2031
2020-10-27,498646,1991
2020-10-26,496655,1191
2020-10-25,495464,1632
2020-10-24,493832,2061
2020-10-23,491771,1637
2020-10-22,490134,1628
2020-10-21,488506,2026
2020-10-20,486480,1201
2020-10-19,485279,998
2020-10-18,484281,1390
2020-10-17,482891,1784
2020-10-16,481107,1707
2020-10-15,479400,1460
2020-10-14,477940,1232
2020-10-13,476708,1393
2020-10-12,475315,1029
2020-10-11,474286,1143
2020-10-10,473143,1447
2020-10-09,471696,1592
2020-10-08,470104,1836
2020-10-07,468268,1360
2020-10-06,466908,1393
2020-10-05,465515,933
2020-10-04,464582,1222
2020-10-03,463360,1731
2020-10-02,461629,1598
2020-10-01,460031,1382
2020-09-30,458649,1000
2020-09-29,457649,1189
2020-09-28,456460,834
2020-09-27,455626,866
2020-09-26,454760,1005
2020-09-25,453755,908
2020-09-24,452847,955
2020-09-23,451892,665
2020-09-22,451227,754
2020-09-21,450473,573
2020-09-20,449900,862
2020-09-19,449038,986
2020-09-18,448052,790
2020-09-17,447262,896
2020-09-16,446366,652
2020-09-15,445714,766
2020-09-14,444948,583
2020-09-13,444365,725
2020-09-12,443640,849
2020-09-11,442791,880
2020-09-10,441911,757
2020-09-09,441154,576
2020-09-08,440578,557
2020-09-07,440021,520
2020-09-06,439501,729
2020-09-05,438772,801
2020-09-04,437971,864
2020-09-03,437107,889
2020-09-02,436218,708
2020-09-01,435510,754
2020-08-31,434756,656
2020-08-30,434100,698
2020-08-29,433402,635
2020-08-28,432767,636
2020-08-27,432131,791
2020-08-26,431340,566
2020-08-25,430774,629
2020-08-24,430145,408
2020-08-23,429737,572
2020-08-22,429165,653
2020-08-21,428512,709
2020-08-20,427803,601
2020-08-19,427202,631
2020-08-18,426571,655
2020-08-17,425916,408
2020-08-16,425508,607
2020-08-15,424901,734
2020-08-14,424167,727
2020-08-13,423440,737
2020-08-12,422703,700
2020-08-11,422003,667
2020-08-10,421336,476
2020-08-09,420860,515
2020-08-08,420345,703
2020-08-07,419642,714
2020-08-06,418928,703
2020-08-05,418225,636
2020-08-04,417589,746
2020-08-03,416843,545
2020-08-02,416298,531
2020-08-01,415767,753
2020-07-31,415014,644
2020-07-30,414370,777
2020-07-29,413593,715
2020-07-28,412878,534
2020-07-27,412344,608
2020-07-26,411736,536
2020-07-25,411200,750
2020-07-24,410450,753
2020-07-23,409697,811
2020-07-22,408886,705
2020-07-21,408181,855
2020-07-20,407326,519
2020-07-19,406807,502
